time/s	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	
1.314710797738735E+003	6.6751838E-003	2.6983223E+004	1.5339186E+004
1.734880401162343E+003	5.0018877E-003	3.0110379E+004	1.3091079E+004
1.736925543979480E+003	7.0000185E+006	6.3897438E+001	2.9711213E+000
1.737393526108383E+003	5.2457595E+006	6.1740101E+001	1.3793756E+000
1.737917530079925E+003	3.9311443E+006	6.1156967E+001	8.2486093E-001
1.738302847511601E+003	2.9459805E+006	5.9676849E+001	8.6324149E-001
1.739107526963140E+003	2.2076993E+006	5.9369465E+001	1.8707151E+000
1.739633542881435E+003	1.6544408E+006	5.9635487E+001	2.4106269E+000
1.740159530426405E+003	1.2398308E+006	5.9931160E+001	2.8273406E+000
1.740684536264656E+003	9.2912150E+005	6.0334770E+001	3.1683090E+000
1.741209544102981E+003	6.9627744E+005	6.0742302E+001	3.5793586E+000
1.741734522181243E+003	5.2178594E+005	6.1228779E+001	4.0714731E+000
1.742261521646258E+003	3.9102397E+005	6.1813492E+001	4.6811628E+000
1.742785523084487E+003	2.9303369E+005	6.2479824E+001	5.4353271E+000
1.743310538709426E+003	2.1959434E+005	6.3333679E+001	6.3269825E+000
1.743836529294407E+003	1.6456353E+005	6.4353050E+001	7.3431849E+000
1.744360536092630E+003	1.2332059E+005	6.5564842E+001	8.5047903E+000
1.744886538597610E+003	9.2413898E+004	6.7051613E+001	9.8042526E+000
1.745412525529246E+003	6.9254750E+004	6.8823906E+001	1.1183335E+001
1.745937535980862E+003	5.1903949E+004	7.0944000E+001	1.2682968E+001
1.746462543659116E+003	3.8895488E+004	7.3421341E+001	1.4180999E+001
1.746988533577445E+003	2.9143781E+004	7.6282265E+001	1.5620568E+001
1.747375854395883E+003	2.1841600E+004	7.9451347E+001	1.7000029E+001
1.747762849294260E+003	1.6367279E+004	8.2923500E+001	1.8212612E+001
1.748149856272648E+003	1.2266182E+004	8.6649109E+001	1.9247141E+001
1.748682506137906E+003	9.1906484E+003	9.0483086E+001	2.0122534E+001
1.749103258477902E+003	6.8870708E+003	9.4423668E+001	2.0873142E+001
1.749519524017669E+003	5.1630884E+003	9.8387184E+001	2.1415445E+001
1.749910741822954E+003	3.8687588E+003	1.0238111E+002	2.2021477E+001
1.750301757201531E+003	2.8990730E+003	1.0627282E+002	2.2575771E+001
1.750692875326771E+003	2.1729172E+003	1.1024621E+002	2.3316113E+001
1.751083857852005E+003	1.6284362E+003	1.1424226E+002	2.4129082E+001
1.751474609550525E+003	1.2203903E+003	1.1825858E+002	2.5219616E+001
1.751865888822475E+003	9.1411920E+002	1.2232207E+002	2.6564571E+001
1.752256592067686E+003	6.8521948E+002	1.2648575E+002	2.8458666E+001
1.752648300326284E+003	5.1352081E+002	1.3094142E+002	3.0952787E+001
1.753037754078148E+003	3.8487689E+002	1.3586696E+002	3.4056854E+001
1.753429810123431E+003	2.8843060E+002	1.4158293E+002	3.8016945E+001
1.753819520728575E+003	2.1617636E+002	1.4852461E+002	4.2578533E+001
1.754208176240354E+003	1.6191676E+002	1.5701425E+002	4.7352592E+001
1.754597347432195E+003	1.2135953E+002	1.6720332E+002	5.1708637E+001
1.754987446730695E+003	9.0960411E+001	1.7892705E+002	5.4972443E+001
1.755371376402298E+003	6.8146439E+001	1.9137076E+002	5.6223156E+001
1.755990646271704E+003	5.1062107E+001	2.0316566E+002	5.5860725E+001
1.756378178156767E+003	3.8273109E+001	2.1322501E+002	5.4431435E+001
1.756762275055022E+003	2.8687269E+001	2.2109453E+002	5.3124416E+001
1.757122091205441E+003	2.1492466E+001	2.2704315E+002	5.3492439E+001
1.757489232716180E+003	1.6108231E+001	2.3169279E+002	5.6321175E+001
1.757835574972647E+003	1.2074932E+001	2.3578851E+002	6.2437607E+001
1.758249930965685E+003	9.0422478E+000	2.3877716E+002	7.1584755E+001
1.758721332694724E+003	6.7816825E+000	2.4201053E+002	8.6592377E+001
1.759283974348131E+003	5.0813036E+000	2.4466060E+002	1.0969463E+002
1.759976200380974E+003	3.8072617E+000	2.4787793E+002	1.3665031E+002
1.760847961302439E+003	2.8523207E+000	2.5254321E+002	1.7879051E+002
1.761961279808631E+003	2.1392405E+000	2.5531183E+002	2.3167033E+002
1.763400545530283E+003	1.6032234E+000	2.6123901E+002	2.9984460E+002
1.765275663272623E+003	1.2014583E+000	2.6326688E+002	3.9313547E+002
1.767734674616164E+003	9.0005994E-001	2.7336151E+002	5.2103229E+002
1.773979134726134E+003	6.7448020E-001	2.8422610E+002	6.8449731E+002
1.778247881728894E+003	5.0527084E-001	3.0290390E+002	9.0866064E+002
1.783909060477774E+003	3.7851259E-001	3.2926920E+002	1.2034399E+003
1.791420031954534E+003	2.8380677E-001	3.7446698E+002	1.5933071E+003
1.801402180055302E+003	2.1279380E-001	4.4773608E+002	2.1105884E+003
1.814691041753162E+003	1.5940592E-001	5.6473889E+002	2.7914846E+003
1.832390355100477E+003	1.1943877E-001	7.5818854E+002	3.6809219E+003
1.855963369100151E+003	8.9541078E-002	1.0798079E+003	4.8297407E+003
1.917293163559836E+003	6.7076236E-002	1.6205345E+003	6.2728926E+003
1.959180543149327E+003	5.0290003E-002	2.5016580E+003	8.0729219E+003
2.015060635590198E+003	3.7672743E-002	3.8966296E+003	1.0211635E+004
2.089556509901857E+003	2.8245077E-002	6.0646348E+003	1.2686016E+004
2.188961689956632E+003	2.1159649E-002	9.1631787E+003	1.4866003E+004
2.321541625187238E+003	1.5860721E-002	1.3290675E+004	1.6677527E+004
2.498602099917189E+003	1.1873767E-002	1.7992434E+004	1.7392879E+004
2.734668933716457E+003	8.9044869E-003	2.2701631E+004	1.6821779E+004
3.049539864912018E+003	6.6751838E-003	2.7028023E+004	1.5336733E+004
3.469709396175604E+003	5.0018877E-003	3.0270014E+004	1.3150636E+004
